,type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
117,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,30,0.7444377022653722,0.3005471174260983,0.5010647726950992,1,2012-01-01,2012-07-01
118,Dtree,"criteria: gini, depth: 30, min_leaf: 300, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
119,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,1,0.9,0.01212640862322391,0.5041146922662648,1,2012-01-01,2012-07-01
120,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,2,0.8163884673748103,0.02196635636126082,0.5038386340143574,1,2012-01-01,2012-07-01
121,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,5,0.7621359223300971,0.05128205128205128,0.5024950643750833,1,2012-01-01,2012-07-01
122,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,10,0.7481796116504854,0.1006859382655561,0.5013349389013184,1,2012-01-01,2012-07-01
123,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,20,0.7465109223300971,0.2009227502858076,0.5017958106648688,1,2012-01-01,2012-07-01
124,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,30,0.7458535598705501,0.3011187326473951,0.5021772217795313,1,2012-01-01,2012-07-01
125,Dtree,"criteria: gini, depth: 30, min_leaf: 500, seed: 12345",0.7430825242718446,50,0.7413834951456311,0.4988567695574065,0.4977751018311359,1,2012-01-01,2012-07-01
126,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,1,0.9424242424242424,0.01269802384452066,0.5052271413506968,1,2012-01-01,2012-07-01
127,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,2,0.8300455235204856,0.022333823289237303,0.5045537798543495,1,2012-01-01,2012-07-01
128,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,5,0.7706310679611651,0.05185366650334803,0.5036075134595153,1,2012-01-01,2012-07-01
129,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,10,0.7548543689320388,0.10158419075616527,0.5030830731768544,1,2012-01-01,2012-07-01
130,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,20,0.7490898058252428,0.20161685448309652,0.5031466416959649,1,2012-01-01,2012-07-01
131,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,30,0.7452467637540453,0.3008737546954107,0.5017004578862032,1,2012-01-01,2012-07-01
132,LR,"penalty: l1, c: 0.1, solver: liblinear, seed: 12345",0.7430825242718446,50,0.7418082524271845,0.4991425771680549,0.498331326373352,1,2012-01-01,2012-07-01
133,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,1,0.9272727272727272,0.012493875551200392,0.5048298381062568,1,2012-01-01,2012-07-01
134,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,2,0.8270106221547799,0.022252163971909194,0.5043948585565733,1,2012-01-01,2012-07-01
135,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,5,0.7657766990291263,0.051527029234035605,0.5029718282684112,1,2012-01-01,2012-07-01
136,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,10,0.7530339805825242,0.10133921280418096,0.5026063092835265,1,2012-01-01,2012-07-01
