,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
100,"Block Group 2, Census Tract 305, Cook County, Illinois",34.9,928,0,38,14,13,41,0,14,107,72,88,82,168,456,1548,1229,52,199,17,031,030500,2
101,"Block Group 3, Census Tract 306.01, Cook County, Illinois",51.2,966,44,81,24,76,78,77,66,60,1,78,61,152,46,1797,1409,206,154,17,031,030601,3
102,"Block Group 2, Census Tract 306.01, Cook County, Illinois",39.0,451,92,22,78,62,19,0,16,14,0,0,0,63,242,793,348,311,115,17,031,030601,2
103,"Block Group 1, Census Tract 306.01, Cook County, Illinois",29.0,597,15,27,14,65,62,80,48,70,20,62,53,39,474,714,337,217,130,17,031,030601,1
104,"Block Group 1, Census Tract 306.03, Cook County, Illinois",33.8,516,50,93,18,59,32,61,58,42,7,22,31,0,91,738,163,371,144,17,031,030603,1
105,"Block Group 2, Census Tract 306.03, Cook County, Illinois",34.2,813,166,54,90,33,83,44,22,44,29,88,36,16,188,1006,562,320,98,17,031,030603,2
106,"Block Group 1, Census Tract 306.04, Cook County, Illinois",33.5,751,91,33,56,54,73,16,42,18,39,72,143,45,96,1257,410,243,544,17,031,030604,1
107,"Block Group 3, Census Tract 306.04, Cook County, Illinois",43.4,514,125,157,95,27,68,5,0,5,0,0,13,10,11,717,362,313,32,17,031,030604,3
108,"Block Group 2, Census Tract 306.04, Cook County, Illinois",49.4,743,29,22,68,50,49,25,36,28,0,68,149,68,85,1059,548,170,273,17,031,030604,2
109,"Block Group 1, Census Tract 307.01, Cook County, Illinois",37.6,898,99,59,76,115,52,21,76,56,19,73,65,112,152,1445,792,387,250,17,031,030701,1
110,"Block Group 1, Census Tract 307.02, Cook County, Illinois",48.6,625,50,8,16,32,8,9,51,20,38,16,74,88,31,951,611,104,228,17,031,030702,1
111,"Block Group 2, Census Tract 307.02, Cook County, Illinois",-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,031,030702,2
112,"Block Group 2, Census Tract 307.03, Cook County, Illinois",71.4,355,99,64,47,25,55,8,7,0,0,22,0,11,21,457,337,95,0,17,031,030703,2
113,"Block Group 1, Census Tract 307.03, Cook County, Illinois",39.8,558,122,14,90,8,34,0,0,48,0,52,34,26,244,724,553,105,25,17,031,030703,1
114,"Block Group 3, Census Tract 307.03, Cook County, Illinois",34.1,775,75,24,30,44,14,32,26,65,52,108,107,55,116,1118,615,334,97,17,031,030703,3
115,"Block Group 1, Census Tract 307.06, Cook County, Illinois",51.6,1999,303,56,72,127,143,143,72,96,51,170,231,146,113,2645,1706,177,702,17,031,030706,1
116,"Block Group 2, Census Tract 307.06, Cook County, Illinois",38.3,854,99,80,95,105,53,16,46,0,0,125,56,94,183,1329,600,464,265,17,031,030706,2
117,"Block Group 2, Census Tract 308, Cook County, Illinois",39.9,525,45,0,0,0,0,28,14,0,0,13,12,139,144,1313,1100,108,72,17,031,030800,2
118,"Block Group 1, Census Tract 308, Cook County, Illinois",43.4,412,52,0,21,11,79,10,20,16,57,26,11,32,322,554,469,20,43,17,031,030800,1
119,"Block Group 4, Census Tract 308, Cook County, Illinois",43.2,494,0,24,0,38,0,11,10,13,40,65,99,16,30,859,644,12,203,17,031,030800,4
120,"Block Group 3, Census Tract 308, Cook County, Illinois",40.8,553,78,0,0,51,19,13,0,0,0,55,98,72,113,1041,914,27,82,17,031,030800,3
121,"Block Group 2, Census Tract 309, Cook County, Illinois",41.6,542,0,65,40,0,42,62,39,0,55,31,38,22,104,1022,634,198,142,17,031,030900,2
122,"Block Group 3, Census Tract 309, Cook County, Illinois",35.2,455,8,25,20,0,0,0,0,8,19,0,10,94,225,916,490,294,83,17,031,030900,3
123,"Block Group 4, Census Tract 309, Cook County, Illinois",39.1,291,0,0,0,0,0,0,0,0,8,59,47,57,72,487,447,0,29,17,031,030900,4
124,"Block Group 1, Census Tract 309, Cook County, Illinois",48.5,204,8,0,0,0,11,9,8,0,47,0,18,28,33,284,225,1,50,17,031,030900,1
125,"Block Group 2, Census Tract 310, Cook County, Illinois",34.7,687,9,13,50,76,54,8,27,24,15,102,19,79,149,1231,965,125,100,17,031,031000,2
126,"Block Group 1, Census Tract 310, Cook County, Illinois",40.1,486,10,0,43,35,23,16,28,16,0,46,29,52,260,822,644,15,137,17,031,031000,1
